X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2,mixed_type_col
0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0,15.55,21.33,637
0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0,15.55,21.33,618
0.98,514.5,294.0, 110.25 ,7.0,4.0,0.0,0.0,15.55,21.33,412
0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0,15.55,21.33,243
0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0,20.84,28.28,979
0.9,,318.5,122.5,7.0,3.0,0.0,0.0,21.46,25.38,
0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0,20.71,25.16,272
0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0,19.68,29.6,706
0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0,19.5,27.3,481
0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0,19.95,21.97,bad
0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0,19.34,23.49,648
0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0,18.31,27.87,368
0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0, 17.05 , 23.77 ,152
0.82,612.5, 318.5 ,147.0, 7.0 ,3.0,0.0,0.0,17.41,21.46,bad
0.82,612.5,318.5,147.0,7.0, 4.0 ,0.0,0.0, 16.95 ,21.16,939
0.82,612.5,318.5,147.0,7.0,5.0,516.0,0.0,15.98,24.93,unknown
0.79,637.0, 343.0 ,147.0,7.0,2.0,0.0,0.0,28.52,37.73,417
0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,29.9,31.27,
0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,29.63,30.93,bad
0.79,637.0,343.0,147.0,7.0, 5.0 ,0.0,0.0,28.75,39.44,912
0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,24.77,29.79,768
0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0,23.93,29.68,534
0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0,24.77,29.79,475
0.76,661.5,416.5, 122.5 ,7.0,5.0,0.0,0.0,23.93,29.4,865
0.74,686.0,245.0,220.5, 3.5 ,2.0,0.0,0.0,6.07,10.9,856
0.74,686.0,245.0,220.5,3.5,3.0,0.0, 0.0 ,6.05,11.19,unknown
0.74,686.0,245.0,220.5,3.5,4.0,0.0,0.0,6.01,10.94,964
0.74,686.0, 245.0 ,220.5,3.5,5.0,0.0, 0.0 ,6.04,11.17,827
0.71, 710.5 ,269.5,220.5,3.5,2.0,0.0,0.0,6.37,11.27,846
0.71,710.5,269.5,220.5,3.5,3.0,0.0,0.0,6.4,11.72,56
0.71,710.5,269.5,220.5,3.5,4.0,0.0,0.0, 6.366 ,11.29,130
0.71, 710.5 ,269.5,220.5,3.5,5.0,0.0,0.0,6.4,11.67,298
24.15,735.0,294.0,220.5,3.5,2.0,0.0,0.0,6.85,11.74,761
0.69,735.0,294.0,220.5,3.5,3.0,0.0,0.0,6.79,12.05,unknown
0.69,735.0,294.0,220.5,3.5,,0.0, 0.0 ,6.77,11.73,82
0.69,735.0,294.0, 220.5 ,3.5,5.0,0.0,0.0,6.81,11.93,
0.66,759.5, 318.5 ,220.5,3.5,2.0,0.0,0.0,7.18,12.4,191
0.66,759.5,318.5,220.5,3.5,3.0,0.0,0.0, 7.1 ,12.23,918
0.66,759.5,318.5,220.5,3.5,4.0,0.0,0.0,7.1,12.4,721
0.66,759.5, 318.5 ,220.5,3.5,5.0,0.0,0.0,7.1,12.14,716
0.64,error,343.0,220.5,3.5,2.0,0.0,0.0,10.85,16.78,
0.64,784.0,343.0,220.5,3.5,3.0,0.0,0.0,10.54, 16.8 ,625
0.64,784.0,343.0,220.5,3.5,4.0,0.0,0.0,10.77,16.75,778
0.64,784.0,343.0,220.5,3.5, 5.0 ,0.0,0.0,10.56,16.67,bad
0.62,808.5,367.5,220.5,3.5,2.0,0.0,0.0,8.6,12.07,856
0.62,808.5,367.5,220.5,3.5,3.0,0.0,0.0,8.49,12.22,bad
0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,8.45,12.08,324
0.62,808.5,367.5,220.5,3.5,5.0,0.0,0.0,8.5,12.04,unknown
 0.98 ,514.5,294.0,110.25,7.0,2.0,0.1,1.0,24.58,26.47,943
0.98,514.5,294.0,110.25,,3.0,0.1,1.0,24.63,26.37,826
0.98,514.5,294.0,110.25,7.0,4.0,0.1,1.0,24.63,26.44,498
0.98,514.5,294.0,110.25,7.0,5.0,0.1,1.0,24.59, 26.29 ,596
0.9,563.5,318.5,122.5, 7.0 ,2.0,0.1,1.0,29.03,32.92,
0.9,563.5,318.5,122.5, 7.0 , 3.0 ,,1.0,29.87,29.87,748
0.9,563.5,318.5, 122.5 ,7.0,4.0,0.1,1.0,29.14,29.58,502
0.9,563.5,318.5,122.5,7.0,5.0,0.1,1.0,28.09,34.33,280
0.86,588.0,294.0,147.0,7.0,2.0,0.1,1.0,26.28,30.89,unknown
0.86,588.0,294.0,147.0,7.0,3.0,0.1,1.0,26.91,25.6,976
0.86,588.0,294.0,147.0,7.0,4.0, 0.1 , 1.0 ,26.37,27.03,bad
,588.0,294.0,147.0,7.0,5.0,0.1,1.0,25.27,31.73,31
0.82,612.5,318.5,147.0,7.0,2.0,0.1,1.0,23.53,27.31,unknown
0.82,612.5,318.5,147.0,7.0,3.0,0.1,1.0,24.03,24.91,386
0.82,612.5,318.5,147.0,7.0,244.0,0.1,1.0,23.54,24.61,159
0.82,612.5,318.5,147.0,7.0,5.0,0.1,1.0,22.58,28.51,882
0.79,637.0,343.0,147.0,7.0,2.0,0.1,1.0,35.56,41.68,914
0.79,637.0,343.0,147.0,7.0,3.0,0.1,1.0,37.12,35.28,unknown
0.79,637.0,343.0,147.0,7.0,4.0,0.1,1.0,36.9,265.43,
0.79,637.0,343.0,147.0,7.0,5.0,0.1, 1.0 ,35.94,43.33,141
 0.76 ,661.5,416.5,122.5,7.0,2.0,0.1,1.0, 32.96 ,2337.0299999999997,unknown
0.76,661.5,416.5,122.5,7.0,3.0,0.1,1.0,32.12, 34.07 ,365
0.76,661.5,416.5,122.5,7.0,4.0,0.1,1.0,32.94,34.14,40
0.76,661.5,416.5,122.5,7.0,5.0,0.1,1.0,32.21,33.67,428
0.74,686.0,,220.5,3.5,2.0,0.1,1.0,10.36, 13.43 ,822
0.74,N/A,245.0,220.5,3.5,3.0,0.1,1.0,10.43,13.71,933
0.74,686.0,245.0,1183.5,3.5,4.0,0.1, 1.0 ,10.36,13.48,121
 0.74 , 686.0 ,245.0,220.5,3.5, 465.0 ,0.1,1.0,10.39,13.7,836
 0.71 , 710.5 ,269.5,220.5,, 2.0 ,0.1,1.0,10.71,13.8,bad
0.71,710.5,269.5,error,3.5,3.0,0.1,1.0,10.8,14.28,
0.71,710.5,269.5, 220.5 ,3.5,4.0,0.1,1.0,10.7,13.87,108
error,710.5,269.5,220.5,3.5,5.0,0.1,1.0,10.75,14.27,972
0.69,735.0,294.0,220.5,3.5,2.0,0.1,1.0,898.11,14.28,unknown
0.69,735.0,294.0,220.5,3.5,3.0, 0.1 ,1.0,11.13,14.61,642
0.69,735.0,294.0,220.5,3.5,4.0,0.1,1.0,11.09,14.3,
0.69,735.0,294.0,220.5,N/A,5.0,0.1,1.0,11.16,14.45,873
0.66,759.5,318.5,220.5,3.5,2.0,0.1,1.0,11.68,13.9,143
0.66,759.5,318.5,220.5,3.5,3.0,0.1,1.0,11.69,13.72,246
0.66,759.5,318.5,220.5,3.5,4.0,0.1,1.0,11.7,13.88,bad
0.66,759.5,318.5,220.5,3.5,5.0,0.1,1.0,11.69,13.65,bad
 0.64 ,784.0,343.0,220.5,3.5,2.0,0.1,1.0,15.41,19.37,494
0.64,784.0,343.0,220.5,3.5,3.0,0.1,1.0,15.2,19.43,bad
0.64,784.0,343.0,220.5,3.5,4.0,0.1,1.0,15.42,19.34,
0.64, 784.0 ,343.0,220.5,3.5,5.0,0.1,1.0,15.21,19.32,8
0.62,808.5,367.5,220.5,269.5,2.0,0.1,1.0,12.96,14.34,unknown
0.62,808.5,367.5,220.5,3.5,3.0, 0.1 ,1.0,12.97,14.5,705
0.62,808.5,367.5,220.5,3.5,4.0,0.1, 1.0 ,12.93, 14.33 ,815
0.62,808.5,367.5,220.5,3.5,5.0,0.1,1.0,13.02,14.27,118
0.98,514.5,294.0,110.25,7.0,2.0,0.1,2.0,24.29, 25.95 ,
0.98,514.5,294.0,110.25,7.0,3.0,0.1,2.0,24.31,25.63,
0.98,514.5, 294.0 ,110.25,7.0,4.0,0.1,2.0,24.13,26.13,863
0.98,514.5,862.0,110.25,7.0,5.0,0.1,2.0,24.25,25.89,696
0.9,563.5,318.5,122.5,7.0,2.0,0.1,2.0,28.88,32.54,656
0.9,563.5,,122.5,7.0,3.0,0.1,2.0,29.68,29.44,unknown
0.9,563.5,318.5,122.5,7.0,4.0,0.1, 2.0 ,28.83,29.36,unknown
0.9,563.5,318.5,122.5,7.0,5.0,0.1,2.0,27.9,34.2,448
 0.86 ,588.0,294.0,147.0,7.0,2.0,0.1,2.0,26.48,30.91,849
0.86,588.0, 294.0 ,147.0,7.0,3.0,0.1,2.0,N/A,25.63,684
0.86,588.0,294.0,147.0,7.0,4.0,0.1,2.0,26.33, 27.36 ,74
0.86,588.0,294.0,147.0,7.0,5.0,0.1,2.0,25.36,31.9,889
0.82,612.5,318.5,147.0,7.0,2.0,0.1,2.0,23.75,27.38,62
0.82,,318.5,147.0,7.0,3.0,0.1,2.0,24.23,850.68,299
0.82,612.5, 318.5 ,147.0,7.0,4.0,0.1,2.0,23.67,24.8,216
0.82,612.5,318.5,147.0,7.0,5.0, 0.1 ,2.0,22.79,28.79,
0.79,637.0,343.0,147.0,7.0,2.0,0.1,2.0,35.65,41.07,153
0.79,637.0,343.0,147.0,7.0,3.0,0.1,2.0,1676.6999999999998,34.62,844
0.79,637.0,343.0,147.0,7.0,4.0,0.1,2.0,36.97,33.87,bad
0.79,637.0,343.0, 147.0 ,7.0,5.0,0.1,2.0,36.03,42.86,unknown
0.76,661.5,416.5,122.5, 7.0 ,2.0,0.1,2.0, 33.16 ,33.91,90
0.76,661.5,416.5,122.5,7.0,3.0,0.1, 2.0 ,32.4,34.07,391
0.76,661.5, 416.5 , 122.5 ,7.0, 4.0 ,0.1,2.0,33.12,34.17,623
0.76,661.5,416.5, 122.5 ,7.0,5.0,0.1,2.0,32.41,33.78,711
0.74,686.0,245.0,,3.5,2.0,0.1,2.0,10.42,13.39,872
0.74,686.0,245.0,220.5,3.5,3.0,0.1,2.0,10.46,13.72,816
0.74,686.0,245.0,220.5,3.5,4.0,0.1,2.0,10.32,13.57,518
0.74,686.0,245.0,220.5,3.5,5.0,0.1,2.0,10.45,13.79,303
0.71,710.5,269.5,220.5,3.5,2.0,0.1,2.0,10.64,13.67,bad
0.71,710.5, 269.5 ,220.5,3.5,3.0,0.1,2.0,10.72,,992
0.71,710.5,269.5,220.5,3.5,4.0,0.1, 2.0 , 10.55 , 13.8 ,608
0.71,710.5,269.5,220.5, 3.5 ,5.0,0.1,2.0,10.68,14.21,908
0.69,735.0,294.0,220.5,3.5,2.0,0.1,2.0,11.45,13.2,
0.69,735.0,,220.5,3.5,3.0, 0.1 ,2.0,11.46,13.54,485
0.69,735.0,294.0,220.5,3.5,4.0,0.1,2.0,11.32,1318.68,825
0.69, 735.0 ,294.0,220.5,3.5,5.0, 0.1 ,2.0,11.49,13.51,722
0.66,759.5,318.5,220.5,3.5,2.0,0.1,2.0,11.45,14.86,200
0.66,759.5, 318.5 ,220.5,3.5,3.0, 0.1 , 2.0 , 11.42 ,899.75,unknown
0.66,759.5,318.5,220.5,3.5,4.0,0.1,2.0,11.33,15.0,
0.66,759.5,318.5,220.5,3.5,5.0,0.1,2.0,11.43,14.74,760
0.64,784.0,343.0,220.5,3.5,2.0,0.1,2.0,15.41,19.23,29
0.64,784.0,343.0,220.5,3.5,3.0,0.1,2.0,15.18,1044.36,826
 0.64 ,784.0,343.0,220.5,3.5,524.0, 0.1 ,2.0,15.34,19.32,929
0.64,784.0, 343.0 ,220.5,3.5,5.0,0.1,2.0,15.19,19.3,23
0.62,46893.0,367.5,220.5,3.5,2.0,0.1,2.0, 12.88 , 14.37 ,bad
0.62,808.5,367.5,220.5,3.5, 3.0 ,0.1,2.0,13.0,14.57,unknown
0.62,808.5,367.5,220.5,3.5,4.0, 0.1 ,2.0,12.97,14.27,360
0.62,808.5,367.5,220.5,3.5,5.0,0.1,2.0,13.04,14.24,336
0.98,514.5,294.0, 110.25 ,7.0,2.0,0.1, 3.0 ,24.28,25.68,519
0.98,514.5,294.0,110.25,7.0,3.0,0.1,3.0,24.4,26.02,917
0.98,514.5,294.0,110.25,7.0,4.0,0.1,3.0,24.11,25.84,461
0.98,514.5,294.0,110.25,7.0,420.0,0.1,3.0,24.35,26.14,bad
,563.5,318.5,122.5,7.0,2.0,0.1,3.0,28.07,34.14,unknown
0.9,563.5,318.5,122.5,7.0,3.0,0.1,3.0,29.01,32.85,887
0.9,563.5,318.5,122.5,7.0,4.0,0.1,3.0, 29.62 ,30.08,314
0.9,563.5,318.5,122.5,7.0,5.0,0.1,3.0,29.05,29.67,462
0.86,588.0,294.0,147.0,7.0,2.0,,3.0,25.41,31.73,bad
0.86,588.0,294.0,147.0,7.0,3.0,0.1,3.0,26.47,31.01,288
0.86,588.0,294.0,147.0,7.0,4.0,0.1,3.0,26.89,25.9,553
0.86,588.0,294.0,147.0,7.0,5.0,0.1,3.0,26.46,27.4,900
0.82,612.5,318.5,147.0,7.0, NAN ,0.1,3.0,22.93, 28.68 ,328
0.82,612.5,318.5,147.0,7.0, 3.0 ,0.1,3.0,23.84,27.54,560
0.82,612.5,318.5,147.0,7.0,4.0,0.1,3.0,623.17,25.35,875
0.82,612.5,318.5,147.0,7.0,5.0,0.1, 3.0 ,23.87,24.93,360
0.79,637.0,343.0,147.0,7.0,2.0,0.1,3.0,35.78,43.12,unknown
0.79,637.0,343.0,147.0,7.0,3.0, 0.1 ,3.0,35.48,41.22,44
0.79,637.0,343.0,147.0,7.0,4.0,0.1,3.0,36.97,35.1,907
0.79,637.0,343.0,147.0, 7.0 ,5.0,0.1,3.0,36.7,34.29,
0.76,661.5,416.5,122.5,7.0,2.0,0.1,3.0,32.52,33.85,215
0.76,661.5,416.5,122.5,7.0,3.0,0.1,3.0,33.28,34.11,139
0.76,661.5,416.5,122.5,7.0,4.0,0.1,3.0,32.33,34.48,707
0.76,661.5, 416.5 ,122.5,7.0,5.0,0.1,3.0,33.24,34.5,364
0.74,686.0,245.0,220.5,3.5, 2.0 ,0.1,3.0,10.39,13.6,
0.74,686.0,245.0,220.5,3.5,3.0,0.1,3.0,10.34,13.36,607
0.74,686.0,245.0,220.5,3.5,4.0,0.1,3.0,10.35,13.65,15
0.74,686.0,245.0,220.5,3.5,5.0,0.1,3.0,10.38,13.49,307
 0.71 ,710.5,269.5,220.5,3.5,2.0,0.1,3.0,10.77,14.14,4
0.71,710.5,269.5,220.5,3.5,3.0, 0.1 ,3.0,10.68, 13.77 ,65
0.71,710.5,269.5, 220.5 ,3.5,4.0,0.1,3.0,10.68,14.3,
0.71,710.5,269.5,220.5,3.5,5.0,0.1,3.0,10.7,13.87,bad
0.69,735.0,294.0,220.5,3.5,2.0,0.1,3.0,11.22,14.44,unknown
0.69,735.0,294.0, 220.5 ,3.5,3.0,,,11.16,14.27,408
0.69,735.0,294.0,220.5,3.5,4.0,0.1,3.0,11.1,14.67,451
0.69,735.0,294.0,220.5,3.5, 5.0 ,0.1,3.0,11.14,14.4,bad
0.66,759.5,318.5,220.5,3.5,2.0,0.1,3.0,11.59,13.46,661
0.66,759.5,318.5,220.5,3.5,3.0,0.1,3.0,11.6, 13.7 ,392
0.66,759.5,318.5,220.5,3.5,4.0,0.1,3.0,11.53,13.59,
0.66,759.5,318.5,220.5,3.5,5.0, 0.1 ,3.0,11.61,13.83,89
0.64, 784.0 , 343.0 , 220.5 ,3.5,2.0,0.1,3.0,15.16, 19.14 ,386
0.64, 784.0 ,343.0,220.5,3.5,3.0,0.1, 3.0 ,15.36, 19.18 ,unknown
0.64,784.0,343.0,220.5,126.0,4.0,0.1,3.0,15.12,19.37,20
0.64,784.0,343.0,NULL,3.5,5.0,,3.0,15.36,19.29,919
 0.62 , 808.5 ,367.5,220.5,3.5, 2.0 ,0.1,3.0,12.68,14.09,515
0.62,808.5,367.5,220.5,3.5,3.0,0.1,3.0,12.63,14.23,unknown
0.62,808.5,367.5,220.5,3.5,4.0,0.1,3.0,12.71,14.14,275
0.62,808.5,367.5, 220.5 ,3.5,5.0,0.1,3.0,12.73,13.89,bad
0.98,514.5,294.0,110.25,7.0,2.0,0.1,4.0,24.38,25.91,366
0.98, 514.5 ,294.0,110.25,7.0,3.0,0.1,4.0,24.23,25.72,928
0.98,514.5,294.0,110.25,7.0,4.0,0.1,4.0,24.04,26.18,522
0.98,514.5,294.0,110.25,7.0,5.0,0.1,4.0,24.32,25.87,636
0.9,563.5,318.5,122.5,7.0,2.0,0.1,4.0,29.06,29.34,203
0.9,563.5,318.5,122.5,7.0, 3.0 ,0.1,4.0,28.05,33.91,994
0.9,563.5,318.5,122.5,7.0,4.0,0.1,4.0,28.86,32.83,192
0.9,563.5,318.5,122.5,7.0,5.0,0.1,4.0,29.79,29.92,33
0.86,588.0,294.0,147.0,7.0,2.0,0.1,4.0,26.44,27.17,
0.86,588.0,294.0,147.0,7.0,3.0,0.1,4.0,25.37,31.76,bad
0.86,588.0, 294.0 ,147.0,7.0,4.0,0.1,4.0,26.33,31.06,921
0.86,588.0,294.0,147.0,7.0,5.0,0.1,4.0,27.03,25.81,857
0.82,612.5,318.5,147.0,7.0,72.0,0.1,4.0,23.8,24.61,553
0.82,612.5, 318.5 ,147.0,7.0,3.0,0.1,4.0,22.8,28.61,916
0.82,21437.5,318.5,147.0,7.0,4.0,0.1, 4.0 ,23.59,27.57,492
0.82,612.5,318.5,147.0,7.0,5.0,0.1,4.0,24.24,25.16,478
 0.79 ,637.0,343.0,147.0,806.0,2.0,0.1,4.0,36.86,34.25,180
0.79,637.0, 343.0 ,147.0,7.0,3.0,0.1,4.0,35.89,43.3,787
0.79,637.0,343.0,147.0,7.0,4.0,0.1,4.0,35.45,41.86,bad
0.79,637.0,343.0,147.0,7.0,5.0,0.1,4.0,37.1,35.29,195
0.76,661.5,416.5,122.5, 7.0 , 2.0 ,0.1,4.0,33.08,34.11,369
0.76,661.5,416.5,9310.0,7.0,3.0,0.1,4.0, 32.38 ,33.62,603
0.76,661.5,416.5,122.5,7.0,4.0,0.1, 4.0 ,33.09,33.89,270
0.76,661.5,416.5,122.5,7.0,5.0,0.1,4.0,32.31,34.05,358
,686.0,245.0,220.5,3.5,2.0,0.1,4.0, 10.08 ,13.2,330
0.74,686.0, 245.0 ,220.5,3.5,3.0,0.1,4.0,10.15,13.36,unknown
0.74,686.0,245.0,220.5,3.5,4.0,0.1,4.0,10.07,13.21,714
0.74,686.0,245.0,220.5, 3.5 ,5.0,0.1,4.0,10.14,13.53,675
0.71,710.5,269.5,220.5, 3.5 ,2.0,0.1,4.0,10.66,13.67,141
0.71,710.5,269.5,220.5,3.5,3.0, 0.1 ,4.0,10.68,14.12,unknown
0.71,710.5,269.5,220.5,3.5,4.0,0.1,4.0,10.53,13.79,bad
0.71,710.5,269.5, 220.5 ,3.5,5.0,0.1,4.0,10.72,14.2,bad
0.69,735.0,294.0,220.5,3.5,2.0,0.1,4.0,11.18,14.29,69
0.69,735.0,294.0,220.5,3.5,3.0,0.1,,11.22,14.49,321
0.69, 735.0 ,294.0, 220.5 ,3.5,4.0,0.1,4.0,11.07,14.42,678
0.69,735.0,294.0,220.5,3.5,5.0,0.1, 4.0 ,11.2,14.73,unknown
0.66,759.5,318.5,220.5,3.5,2.0,0.1, 4.0 ,11.44,14.86,
0.66,759.5,318.5,220.5,3.5,3.0,0.1,4.0,11.42,14.67,bad
0.66,759.5,318.5,220.5,3.5,4.0,0.1,4.0,11.33,15.0,194
0.66,759.5,318.5,220.5,3.5,5.0,0.1,4.0,11.43,14.83,
0.64,784.0,343.0,220.5,3.5,2.0,0.1,4.0,15.4,19.24,bad
0.64,784.0,343.0,220.5,3.5,3.0,0.1,4.0,15.19,19.25,126
0.64, 784.0 ,343.0,220.5,3.5,4.0,1.0,4.0,15.32,19.42,350
0.64,784.0,343.0,220.5,3.5,5.0,0.1,4.0,15.16, 19.48 ,818
0.62,808.5,367.5,711.5,3.5,2.0,0.1,4.0,12.85,14.37,432
0.62,808.5,367.5,220.5,3.5,3.0,0.1,4.0,13.04,14.34,688
0.62,808.5,367.5,220.5,3.5,4.0,0.1,4.0,13.0,14.28,748
0.62,808.5, 367.5 ,220.5,3.5, 5.0 ,0.1,4.0,286.0,14.47,unknown
0.98,514.5,294.0,110.25,7.0,2.0,0.1,5.0,24.35,25.64,
0.98,514.5,294.0,110.25,7.0,3.0,0.1,971.0,24.33,25.98,
0.98,514.5,294.0,110.25,7.0,4.0,0.1,5.0,24.03, 25.88 ,793
 0.98 ,514.5,294.0,110.25,7.0,5.0,0.1,5.0,24.26,26.18,466
0.9,563.5,318.5, 122.5 ,7.0,2.0,0.1,5.0,,29.82,576
0.9,563.5,318.5,122.5,7.0,3.0,0.1, 5.0 ,29.08,29.52,
0.9,563.5,318.5,122.5,7.0,4.0,0.1,5.0,28.03,34.45,853
0.9,563.5, 318.5 ,122.5,7.0,5.0,0.1,5.0,29.02, 33.01 ,
 0.86 ,588.0,294.0,147.0,7.0,2.0,0.1,5.0,27.03,25.82,896
0.86,588.0,294.0,147.0,7.0,3.0,0.1,5.0,26.45,27.33,207
0.86,588.0,294.0,147.0,7.0,4.0,0.1,5.0,25.36,32.04,
0.86,588.0,294.0,error,7.0,5.0,0.1,5.0,26.45,31.28,24
0.82, 612.5 ,318.5,N/A,7.0,2.0,0.1,5.0,24.37,25.11,unknown
0.82,612.5,318.5,147.0,7.0,3.0,0.1,5.0,23.89,24.77,93
0.82,612.5,318.5,147.0,7.0,4.0,0.1, 5.0 ,22.89,28.88,547
0.82,612.5,318.5,147.0,,5.0,0.1,5.0,23.86,27.69,266
0.79, 637.0 ,343.0,147.0,7.0,2.0,0.1,5.0,37.03,34.99,bad
0.79,637.0,343.0,147.0,7.0,3.0,0.1,5.0, 36.71 ,34.18,819
0.79,637.0,343.0,295.0,,4.0,0.1,5.0,36.77,43.14,
0.79,637.0,343.0,147.0,7.0,5.0,0.1,5.0,35.48,41.26,
